Source:,/home/jtf/gith/cm2/pcb/cm2.kicad_sch,,,,,
Date:,Mon 24 Jan 2022 01:46:10 PM PST,,,,,
Tool:,Eeschema 6.0.1-79c1e3a40b~116~ubuntu20.04.1,,,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py,,,,,
Component Count:,614,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor
"C1, C2, ",2,100uF,C_Polarized_Small_US,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,"Polarized capacitor, small US symbol",
"C3, C4, C5, C6, C7, C8, C9, C10, ",8,10uF,C_Small,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,"Unpolarized capacitor, small symbol",
"C11, C12, ",2,100uF,C_Polarized_Small_US,Capacitor_SMD:CP_Elec_6.3x7.7,"Polarized capacitor, small US symbol",
D00A1 – D31H2,512,LED_Small_ALT,LED_Small_Filled,LED_THT:LED_D5.0mm,"Light emitting diode, small symbol, filled shape",
"H2, H8, H9, H10, ",4,RPi MountingHole,MountingHole,MountingHole:MountingHole_2.5mm,Mounting Hole without connection,
"J1, ",1,top left,Conn_02x06_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Horizontal,"Generic connector, double row, 02x06, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",
"J2, ",1,bottom left,Conn_02x06_Odd_Even,Connector_PinSocket_2.54mm:PinSocket_2x06_P2.54mm_Horizontal,"Generic connector, double row, 02x06, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",
"J3, ",1,Raspberry_Pi_2_3,Raspberry_Pi_2_3,Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical,expansion header for Raspberry Pi 2 & 3,
"J4, J5, ",2,Screw_Terminal_01x02,Screw_Terminal_01x02,TerminalBlock:TerminalBlock_bornier-2_P5.08mm,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",
"R1, - R64, ",64,R33,R_US,Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,"Resistor, US symbol",
"U1, U2, ",2,HT1632C-52LQFP,HT1632C-52LQFP,Package_QFP:LQFP-52_14x14mm_P1mm,"LED Matrix Driver, 32×8 or 24×16, 52-LQFP",
